No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM
1,2013,3,1,0,9,9,6,17,200,62,0.3,1021.9,-19,0,WNW,2
2,2013,3,1,1,11,11,7,14,200,66,-0.1,1022.4,-19.3,0,WNW,4.4
3,2013,3,1,2,8,8,NA,16,200,59,-0.6,1022.6,-19.7,0,WNW,4.7
4,2013,3,1,3,8,8,3,16,NA,NA,-0.7,1023.5,-20.9,0,NW,2.6
5,2013,3,1,4,8,8,3,NA,300,36,-0.9,1024.1,-21.7,0,WNW,2.5
6,2013,3,1,5,10,10,4,8,200,64,-1.6,1024.7,-21.1,0,NE,2
7,2013,3,1,6,8,8,6,13,300,61,-2.4,1025.4,-20.3,0,NE,2.3
8,2013,3,1,7,8,8,8,20,300,54,-0.8,1026.7,-19.9,0,NNE,2
9,2013,3,1,8,3,6,9,23,300,50,0.4,1027.3,-19.4,0,NE,2.7
10,2013,3,1,9,3,6,10,18,300,56,1.5,1027.4,-19.7,0,ENE,2.9
11,2013,3,1,10,3,6,11,15,300,61,2.1,1027.3,-21.2,0,NNE,4.8
12,2013,3,1,11,3,6,9,14,300,62,3.1,1027.2,-21.1,0,N,4.1
13,2013,3,1,12,3,6,8,10,300,67,4.7,1026.3,-20.6,0,ESE,1.6
14,2013,3,1,13,3,9,7,9,300,70,5.5,1025.2,-20,0,NE,3.1
15,2013,3,1,14,3,14,7,8,300,72,6.6,1024.9,-19.9,0,NW,2.1
16,2013,3,1,15,12,14,5,7,200,73,6.1,1024.7,-19.5,0,NE,2.4
17,2013,3,1,16,11,17,7,9,300,72,5.9,1024.7,-18.8,0,N,3.3
18,2013,3,1,17,13,18,8,14,300,67,5.3,1025.3,-19.3,0,NNW,2
19,2013,3,1,18,10,18,9,20,400,58,4.1,1026.4,-19.5,0,NNE,2.2
20,2013,3,1,19,10,16,7,29,500,50,3.2,1027.2,-18.9,0,NE,2.1
